????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
?? ??????? ??,1396/07/28,43,25,62,15,59,77,77,,1,,,,
?? ??????? ??,1396/07/29,47,33,75,15,56,80,80,,1,,,,
?? ??????? ??,1396/07/30,49,36,76,18,63,88,88,,1,,,,
?? ??????? ??,1396/08/01,55,37,81,20,74,106,106,,,1,,,
?? ??????? ??,1396/08/02,44,29,78,16,73,97,97,,1,,,,
?? ??????? ??,1396/08/03,55,37,80,18,77,102,102,,,1,,,
?? ??????? ??,1396/08/04,57,32,85,20,91,114,114,,,1,,,
?? ??????? ??,1396/08/05,60,41,85,20,86,121,121,,,1,,,
?? ??????? ??,1396/08/06,59,41,72,17,89,117,117,,,1,,,
?? ??????? ??,1396/08/07,57,31,73,16,86,120,120,,,1,,,
?? ??????? ??,1396/08/08,60,29,70,17,90,123,123,,,1,,,
?? ??????? ??,1396/08/09,46,26,75,18,86,115,115,,,1,,,
?? ??????? ??,1396/08/10,64,31,81,17,98,112,112,,,1,,,
?? ??????? ??,1396/08/11,60,25,62,15,98,110,110,,,1,,,
?? ??????? ??,1396/08/12,32,23,48,12,151,151,151,,,,1,,
?? ??????? ??,1396/08/13,35,22,61,14,117,130,130,,,1,,,
?? ??????? ??,1396/08/14,32,23,66,13,97,113,113,,,1,,,
?? ??????? ??,1396/08/15,42,24,73,15,88,117,117,,,1,,,
?? ??????? ??,1396/08/16,52,32,81,16,93,126,126,,,1,,,
?? ??????? ??,1396/08/17,50,32,78,14,81,115,115,,,1,,,
?? ??????? ??,1396/08/18,49,40,76,14,85,110,110,,,1,,,
?? ??????? ??,1396/08/19,42,31,56,13,69,92,92,,1,,,,
?? ??????? ??,1396/08/20,34,28,61,11,65,80,80,,1,,,,
?? ??????? ??,1396/08/21,45,20,63,14,76,97,97,,1,,,,
?? ??????? ??,1396/08/22,33,25,62,11,64,85,85,,1,,,,
?? ??????? ??,1396/08/23,38,27,77,14,67,99,99,,1,,,,
?? ??????? ??,1396/08/24,42,29,74,14,73,111,111,,,1,,,
?? ??????? ??,1396/08/25,38,35,67,14,74,113,113,,,1,,,
?? ??????? ??,1396/08/26,38,29,70,12,67,105,105,,,1,,,
?? ??????? ??,1396/08/27,41,35,75,14,61,101,101,,,1,,,
?? ??????? ??,1396/08/28,40,29,73,16,66,104,104,,,1,,,
?? ??????? ??,1396/08/29,53,28,92,16,71,112,112,,,1,,,
?? ??????? ??,1396/08/30,40,22,87,19,83,123,123,,,1,,,
?? ??????? ??,1396/09/01,27,26,57,13,56,78,78,,1,,,,
?? ??????? ??,1396/09/02,33,25,53,12,52,84,84,,1,,,,
?? ??????? ??,1396/09/03,24,23,42,10,36,49,49,1,,,,,
?? ??????? ??,1396/09/04,21,26,38,8,27,37,37,1,,,,,
?? ??????? ??,1396/09/05,28,23,50,11,51,60,60,,1,,,,
?? ??????? ??,1396/09/06,35,18,63,13,61,81,81,,1,,,,
?? ??????? ??,1396/09/07,43,18,82,16,70,104,104,,,1,,,
?? ??????? ??,1396/09/08,39,15,72,17,64,97,97,,1,,,,
?? ??????? ??,1396/09/09,50,16,88,20,75,120,120,,,1,,,
?? ??????? ??,1396/09/10,46,16,76,17,70,111,111,,,1,,,
?? ??????? ??,1396/09/11,34,17,62,15,55,90,90,,1,,,,
?? ??????? ??,1396/09/12,37,23,63,14,63,101,101,,,1,,,
?? ??????? ??,1396/09/13,43,13,79,15,70,118,118,,,1,,,
?? ??????? ??,1396/09/14,43,15,89,16,83,141,141,,,1,,,
?? ??????? ??,1396/09/15,37,15,86,19,90,144,144,,,1,,,
?? ??????? ??,1396/09/16,41,9,82,18,79,123,123,,,1,,,
?? ??????? ??,1396/09/17,30,19,58,16,57,77,77,,1,,,,
?? ??????? ??,1396/09/18,41,18,69,12,40,67,67,,1,,,,
?? ??????? ??,1396/09/19,44,13,79,16,64,114,114,,,1,,,
?? ??????? ??,1396/09/20,45,14,85,19,74,122,122,,,1,,,
?? ??????? ??,1396/09/21,41,14,85,16,65,101,101,,,1,,,
?? ??????? ??,1396/09/22,44,14,76,16,60,95,95,,1,,,,
?? ??????? ??,1396/09/23,39,15,75,21,66,112,112,,,1,,,
?? ??????? ??,1396/09/24,40,18,65,18,68,113,113,,,1,,,
?? ??????? ??,1396/09/25,47,20,82,17,67,112,112,,,1,,,
?? ??????? ??,1396/09/26,52,14,95,23,87,145,145,,,1,,,
?? ??????? ??,1396/09/27,55,10,98,19,89,146,146,,,1,,,
?? ??????? ??,1396/09/28,52,14,99,21,92,151,151,,,,1,,
?? ??????? ??,1396/09/29,56,13,106,23,105,158,158,,,,1,,
?? ??????? ??,1396/09/30,81,10,103,27,120,172,172,,,,1,,
?? ??????? ??,1396/10/01,37,16,101,15,64,115,115,,,1,,,
?? ??????? ??,1396/10/02,45,26,66,14,55,99,99,,1,,,,
?? ??????? ??,1396/10/03,51,14,82,19,67,105,105,,,1,,,
?? ??????? ??,1396/10/04,66,17,93,22,79,115,115,,,1,,,
?? ??????? ??,1396/10/05,27,25,70,11,54,72,72,,1,,,,
?? ??????? ??,1396/10/06,29,15,58,13,66,93,93,,1,,,,
?? ??????? ??,1396/10/07,34,16,63,11,66,87,87,,1,,,,
?? ??????? ??,1396/10/08,39,13,76,15,71,105,105,,,1,,,
?? ??????? ??,1396/10/09,47,17,83,15,73,115,115,,,1,,,
?? ??????? ??,1396/10/10,49,12,100,20,94,141,141,,,1,,,
?? ??????? ??,1396/10/11,46,13,98,20,98,152,152,,,,1,,
?? ??????? ??,1396/10/12,35,20,74,19,79,128,128,,,1,,,
?? ??????? ??,1396/10/13,27,22,50,12,46,65,65,,1,,,,
?? ??????? ??,1396/10/14,34,17,71,13,54,79,79,,1,,,,
?? ??????? ??,1396/10/15,42,13,76,16,76,129,129,,,1,,,
?? ??????? ??,1396/10/16,40,21,72,14,67,119,119,,,1,,,
?? ??????? ??,1396/10/17,41,9,73,10,56,107,107,,,1,,,
?? ??????? ??,1396/10/18,39,17,69,13,48,86,86,,1,,,,
?? ??????? ??,1396/10/19,38,16,72,15,61,107,107,,,1,,,
?? ??????? ??,1396/10/20,41,13,78,16,60,109,109,,,1,,,
?? ??????? ??,1396/10/21,36,14,75,20,72,131,131,,,1,,,
?? ??????? ??,1396/10/22,41,19,82,21,71,131,131,,,1,,,
?? ??????? ??,1396/10/23,59,20,92,19,74,132,132,,,1,,,
?? ??????? ??,1396/10/24,36,23,71,14,55,73,73,,1,,,,
?? ??????? ??,1396/10/25,41,15,81,18,63,101,101,,,1,,,
?? ??????? ??,1396/10/26,28,27,55,13,55,68,68,,1,,,,
?? ??????? ??,1396/10/27,26,16,49,15,56,90,90,,1,,,,
?? ??????? ??,1396/10/28,28,18,54,17,58,104,104,,,1,,,
?? ??????? ??,1396/10/29,39,23,64,16,59,100,100,,1,,,,
