????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
??? ??,-,,,,,,,,19,251,89,6,,
?? ??????? ??,1398/05/19,25,67,65,9,66,79,79,,1,,,,
?? ??????? ??,1398/05/20,35,56,78,12,74,90,90,,1,,,,
?? ??????? ??,1398/05/21,26,82,83,9,77,86,86,,1,,,,
?? ??????? ??,1398/05/22,25,99,79,10,59,76,99,,1,,,,
?? ??????? ??,1398/05/23,21,77,65,11,61,69,77,,1,,,,
?? ??????? ??,1398/05/24,22,79,80,9,65,77,79,,1,,,,
?? ??????? ??,1398/05/25,37,88,89,11,62,79,88,,1,,,,
?? ??????? ??,1398/05/26,34,88,80,10,51,63,88,,1,,,,
?? ??????? ??,1398/05/27,34,59,90,13,53,63,63,,1,,,,
?? ??????? ??,1398/05/28,37,58,88,12,55,66,66,,1,,,,
?? ??????? ??,1398/05/29,38,83,87,13,60,80,83,,1,,,,
?? ??????? ??,1398/05/30,37,94,88,11,62,80,94,,1,,,,
?? ??????? ??,1398/05/31,29,95,92,10,62,81,95,,1,,,,
?? ??????? ??,1398/06/01,33,75,82,10,58,71,75,,1,,,,
?? ??????? ??,1398/06/02,31,56,75,10,53,67,67,,1,,,,
?? ??????? ??,1398/06/03,35,62,91,11,57,72,72,,1,,,,
?? ??????? ??,1398/06/04,34,79,87,13,64,80,80,,1,,,,
?? ??????? ??,1398/06/05,37,56,88,13,63,83,83,,1,,,,
?? ??????? ??,1398/06/06,35,46,81,13,61,75,75,,1,,,,
?? ??????? ??,1398/06/07,28,50,84,11,76,83,83,,1,,,,
?? ??????? ??,1398/06/08,25,74,79,12,64,80,80,,1,,,,
?? ??????? ??,1398/06/09,25,71,68,7,54,70,71,,1,,,,
?? ??????? ??,1398/06/10,21,42,64,10,56,64,64,,1,,,,
?? ??????? ??,1398/06/11,25,43,68,12,58,75,75,,1,,,,
?? ??????? ??,1398/06/12,39,49,88,12,65,84,84,,1,,,,
?? ??????? ??,1398/06/13,22,57,65,9,75,84,84,,1,,,,
?? ??????? ??,1398/06/14,32,43,68,14,57,74,74,,1,,,,
?? ??????? ??,1398/06/15,31,51,71,12,55,75,75,,1,,,,
?? ??????? ??,1398/06/16,33,53,75,11,53,70,70,,1,,,,
?? ??????? ??,1398/06/17,37,43,76,10,63,78,78,,1,,,,
?? ??????? ??,1398/06/18,25,58,58,8,84,77,84,,1,,,,
?? ??????? ??,1398/06/19,20,48,50,10,53,54,54,,1,,,,
?? ??????? ??,1398/06/20,24,39,51,11,44,51,51,,1,,,,
?? ??????? ??,1398/06/21,22,39,53,8,57,62,62,,1,,,,
?? ??????? ??,1398/06/22,24,37,55,13,57,58,58,,1,,,,
?? ??????? ??,1398/06/23,24,40,61,10,55,58,58,,1,,,,
?? ??????? ??,1398/06/24,28,41,71,11,58,66,66,,1,,,,
?? ??????? ??,1398/06/25,34,40,76,12,60,68,68,,1,,,,
?? ??????? ??,1398/06/26,32,41,73,11,59,66,66,,1,,,,
?? ??????? ??,1398/06/27,40,39,82,14,65,81,81,,1,,,,
?? ??????? ??,1398/06/28,45,43,85,14,69,91,91,,1,,,,
?? ??????? ??,1398/06/29,41,43,84,12,67,89,89,,1,,,,
?? ??????? ??,1398/06/30,41,55,95,12,66,90,90,,1,,,,
?? ??????? ??,1398/06/31,42,28,82,12,75,100,100,,1,,,,
?? ??????? ??,1398/07/01,36,23,67,12,137,121,137,,,1,,,
?? ??????? ??,1398/07/02,42,31,80,15,88,104,104,,,1,,,
?? ??????? ??,1398/07/03,46,29,77,13,68,85,85,,1,,,,
?? ??????? ??,1398/07/04,48,29,81,11,58,69,69,,1,,,,
?? ??????? ??,1398/07/05,51,25,77,15,77,100,100,,1,,,,
?? ??????? ??,1398/07/06,39,42,91,13,70,92,92,,1,,,,
?? ??????? ??,1398/07/07,35,30,86,13,88,94,94,,1,,,,
?? ??????? ??,1398/07/08,37,25,84,16,86,111,111,,,1,,,
?? ??????? ??,1398/07/09,30,31,73,13,69,82,82,,1,,,,
?? ??????? ??,1398/07/10,42,38,90,17,71,98,98,,1,,,,
?? ??????? ??,1398/07/11,29,42,68,16,70,85,85,,1,,,,
?? ??????? ??,1398/07/12,41,36,88,17,70,99,99,,1,,,,
?? ??????? ??,1398/07/13,29,44,71,13,64,84,84,,1,,,,
?? ??????? ??,1398/07/14,29,34,75,13,57,76,76,,1,,,,
