????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
??? ??,-,,,,,,,,45,262,57,1,,
?? ??????? ??,1397/05/19,29,59,55,5,55,63,63,,1,,,,
?? ??????? ??,1397/05/20,31,80,68,5,60,65,80,,1,,,,
?? ??????? ??,1397/05/21,31,76,61,7,66,76,76,,1,,,,
?? ??????? ??,1397/05/22,32,54,55,7,71,83,83,,1,,,,
?? ??????? ??,1397/05/23,24,65,58,6,68,79,79,,1,,,,
?? ??????? ??,1397/05/24,30,62,59,8,70,79,79,,1,,,,
?? ??????? ??,1397/05/25,37,53,63,8,73,80,80,,1,,,,
?? ??????? ??,1397/05/26,36,58,56,6,64,69,69,,1,,,,
?? ??????? ??,1397/05/27,33,52,63,7,62,67,67,,1,,,,
?? ??????? ??,1397/05/28,37,51,83,8,69,78,78,,1,,,,
?? ??????? ??,1397/05/29,24,102,56,10,134,116,134,,,1,,,
?? ??????? ??,1397/05/30,24,57,49,10,83,88,88,,1,,,,
?? ??????? ??,1397/05/31,30,53,55,10,70,78,78,,1,,,,
?? ??????? ??,1397/06/01,25,65,48,10,61,69,69,,1,,,,
?? ??????? ??,1397/06/02,23,48,44,9,62,69,69,,1,,,,
?? ??????? ??,1397/06/03,33,61,57,10,61,71,71,,1,,,,
?? ??????? ??,1397/06/04,32,72,56,13,66,83,83,,1,,,,
?? ??????? ??,1397/06/05,26,56,59,10,59,68,68,,1,,,,
?? ??????? ??,1397/06/06,32,45,62,10,58,66,66,,1,,,,
?? ??????? ??,1397/06/07,46,57,76,13,66,84,84,,1,,,,
?? ??????? ??,1397/06/08,45,56,67,11,66,65,66,,1,,,,
?? ??????? ??,1397/06/09,40,67,63,13,68,63,68,,1,,,,
?? ??????? ??,1397/06/10,32,60,55,11,60,76,76,,1,,,,
?? ??????? ??,1397/06/11,20,53,44,10,64,81,81,,1,,,,
?? ??????? ??,1397/06/12,21,54,44,10,66,81,81,,1,,,,
?? ??????? ??,1397/06/13,26,56,54,11,61,74,74,,1,,,,
?? ??????? ??,1397/06/14,29,51,58,11,60,72,72,,1,,,,
?? ??????? ??,1397/06/15,37,48,63,13,62,80,80,,1,,,,
?? ??????? ??,1397/06/16,38,55,59,10,61,75,75,,1,,,,
?? ??????? ??,1397/06/17,35,62,69,10,62,76,76,,1,,,,
?? ??????? ??,1397/06/18,35,63,76,12,62,74,74,,1,,,,
?? ??????? ??,1397/06/19,35,41,76,11,71,94,94,,1,,,,
?? ??????? ??,1397/06/20,41,58,77,14,71,92,92,,1,,,,
?? ??????? ??,1397/06/21,44,47,86,15,66,80,80,,1,,,,
?? ??????? ??,1397/06/22,28,33,74,11,79,87,87,,1,,,,
?? ??????? ??,1397/06/23,28,62,68,11,76,96,96,,1,,,,
?? ??????? ??,1397/06/24,34,68,69,13,68,88,88,,1,,,,
?? ??????? ??,1397/06/25,43,67,85,16,70,91,91,,1,,,,
?? ??????? ??,1397/06/26,47,52,78,14,70,88,88,,1,,,,
?? ??????? ??,1397/06/27,34,43,75,13,65,79,79,,1,,,,
?? ??????? ??,1397/06/28,29,50,64,12,90,89,90,,1,,,,
?? ??????? ??,1397/06/29,18,33,35,12,74,86,86,,1,,,,
?? ??????? ??,1397/06/30,15,42,35,10,50,65,65,,1,,,,
?? ??????? ??,1397/06/31,25,42,56,12,40,54,54,,1,,,,
?? ??????? ??,1397/07/01,27,44,61,14,49,60,60,,1,,,,
?? ??????? ??,1397/07/02,38,41,68,14,66,88,88,,1,,,,
?? ??????? ??,1397/07/03,19,45,50,11,54,66,66,,1,,,,
?? ??????? ??,1397/07/04,33,48,73,12,55,68,68,,1,,,,
?? ??????? ??,1397/07/05,31,75,80,12,58,75,75,,1,,,,
?? ??????? ??,1397/07/06,35,42,60,12,46,55,55,,1,,,,
?? ??????? ??,1397/07/07,27,37,51,10,42,48,48,1,,,,,
?? ??????? ??,1397/07/08,41,34,61,13,51,60,60,,1,,,,
?? ??????? ??,1397/07/09,40,52,66,12,61,72,72,,1,,,,
?? ??????? ??,1397/07/10,39,40,64,14,58,73,73,,1,,,,
?? ??????? ??,1397/07/11,43,39,70,13,64,74,74,,1,,,,
?? ??????? ??,1397/07/12,36,35,48,15,73,83,83,,1,,,,
?? ??????? ??,1397/07/13,40,42,62,10,62,76,76,,1,,,,
?? ??????? ??,1397/07/14,24,54,49,9,61,69,69,,1,,,,
?? ??????? ??,1397/07/15,22,26,35,9,29,39,39,1,,,,,
?? ??????? ??,1397/07/16,24,23,43,11,46,65,65,,1,,,,
?? ??????? ??,1397/07/17,25,34,43,13,45,60,60,,1,,,,
?? ??????? ??,1397/07/18,33,28,57,16,63,87,87,,1,,,,
?? ??????? ??,1397/07/19,25,20,43,19,47,82,82,,1,,,,
?? ??????? ??,1397/07/20,26,33,59,12,57,76,76,,1,,,,
?? ??????? ??,1397/07/21,21,35,40,11,54,69,69,,1,,,,
?? ??????? ??,1397/07/22,22,17,45,16,54,81,81,,1,,,,
?? ??????? ??,1397/07/23,29,26,52,11,55,82,82,,1,,,,
?? ??????? ??,1397/07/24,24,29,56,12,58,75,75,,1,,,,
?? ??????? ??,1397/07/25,25,30,46,13,39,65,65,,1,,,,
?? ??????? ??,1397/07/26,34,28,50,14,54,80,80,,1,,,,
